user_id,item_id,rating
user_0001,item_0048,3
user_0001,item_0046,2
user_0001,item_0027,2
user_0001,item_0086,5
user_0001,item_0035,4
user_0001,item_0090,1
user_0001,item_0088,1
user_0001,item_0083,1
user_0001,item_0010,2
user_0001,item_0078,2
user_0001,item_0082,4
user_0001,item_0022,5
user_0001,item_0069,1
user_0001,item_0032,4
user_0001,item_0021,4
user_0001,item_0060,5
user_0001,item_0049,4
user_0001,item_0096,5
user_0001,item_0095,3
user_0001,item_0072,5
user_0001,item_0029,1
user_0001,item_0042,1
user_0001,item_0008,5
user_0001,item_0030,3
user_0001,item_0005,3
user_0001,item_0041,1
user_0001,item_0052,3
user_0001,item_0093,4
user_0001,item_0009,2
user_0001,item_0028,4
user_0001,item_0075,1
user_0001,item_0071,3
user_0001,item_0064,5
user_0001,item_0051,2
user_0001,item_0059,5
user_0001,item_0019,1
user_0001,item_0034,3
user_0001,item_0081,5
user_0001,item_0016,5
user_0001,item_0100,2
user_0001,item_0036,2
user_0001,item_0073,3
user_0001,item_0017,2
user_0001,item_0061,5
user_0001,item_0038,5
user_0001,item_0094,1
user_0001,item_0056,5
user_0001,item_0026,3
user_0002,item_0032,2
user_0002,item_0061,4
user_0002,item_0053,1
user_0002,item_0025,4
user_0002,item_0013,3
user_0002,item_0096,4
user_0002,item_0085,3
user_0002,item_0056,4
user_0002,item_0046,5
user_0002,item_0055,4
user_0002,item_0098,2
user_0002,item_0060,2
user_0002,item_0007,3
user_0002,item_0087,2
user_0002,item_0084,1
user_0002,item_0083,5
user_0002,item_0095,5
user_0002,item_0008,1
user_0002,item_0052,3
user_0002,item_0044,1
user_0002,item_0014,1
user_0002,item_0100,5
user_0002,item_0097,4
user_0002,item_0078,5
user_0002,item_0069,5
user_0002,item_0058,2
user_0002,item_0018,1
user_0002,item_0091,5
user_0002,item_0024,1
user_0002,item_0036,2
user_0002,item_0089,1
user_0002,item_0079,5
user_0002,item_0010,1
user_0002,item_0057,2
user_0002,item_0086,4
user_0002,item_0088,1
user_0002,item_0002,5
user_0002,item_0063,2
user_0002,item_0006,5
user_0002,item_0070,5
user_0002,item_0049,1
user_0002,item_0073,5
user_0002,item_0016,1
user_0002,item_0011,4
user_0002,item_0027,5
user_0002,item_0076,5
user_0002,item_0031,5
user_0002,item_0080,3
user_0002,item_0026,3
user_0002,item_0004,2
user_0003,item_0017,4
user_0003,item_0082,2
user_0003,item_0034,3
user_0003,item_0021,2
user_0003,item_0095,1
user_0003,item_0057,4
user_0003,item_0071,1
user_0003,item_0091,4
user_0003,item_0055,2
user_0003,item_0072,2
user_0003,item_0002,4
user_0003,item_0015,3
user_0003,item_0010,3
user_0003,item_0020,2
user_0003,item_0070,2
user_0003,item_0005,1
user_0003,item_0048,2
user_0003,item_0075,4
user_0003,item_0094,3
user_0003,item_0019,3
user_0003,item_0056,1
user_0003,item_0100,3
user_0003,item_0006,3
user_0003,item_0040,5
user_0003,item_0047,4
user_0003,item_0078,5
user_0003,item_0046,3
user_0003,item_0027,1
user_0003,item_0032,1
user_0003,item_0014,3
user_0003,item_0074,2
